epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,13347,1.41393,0.81911,0.00921,0.92176,0.85579,0.91654,0.82899,0.50781,0.40086,0.0109,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13626.4,1.41586,0.81808,0.00925,0.92927,0.85561,0.91384,0.82408,0.5207,0.38864,0.01133,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13908.4,1.41337,0.80961,0.00925,0.93607,0.84843,0.9227,0.83272,0.51384,0.38758,0.01107,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14190.2,1.41,0.81136,0.0092,0.91193,0.86368,0.92165,0.83114,0.5084,0.40082,0.01098,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14469.6,1.4065,0.80982,0.00916,0.91887,0.86342,0.92185,0.83226,0.51801,0.40063,0.01147,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14749.5,1.40891,0.81311,0.0091,0.92387,0.84899,0.92071,0.83349,0.50987,0.41005,0.01113,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15028.8,1.4042,0.79969,0.00908,0.92758,0.84036,0.91684,0.83187,0.51002,0.41225,0.01103,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15309.6,1.39271,0.80183,0.00906,0.94931,0.81883,0.91546,0.83369,0.49117,0.4224,0.01044,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15591.9,1.39596,0.79664,0.00897,0.95891,0.82063,0.91934,0.8356,0.49779,0.41807,0.01061,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15872.9,1.38867,0.78326,0.00896,0.94707,0.83318,0.91837,0.83685,0.49718,0.41547,0.01058,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,16152.5,1.39789,0.8017,0.00897,0.95164,0.83049,0.9176,0.83576,0.49777,0.40673,0.01062,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16433.1,1.38486,0.78461,0.009,0.95757,0.82422,0.91603,0.83493,0.50494,0.40822,0.01068,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16713.5,1.38269,0.77936,0.00883,0.94799,0.83369,0.91545,0.83728,0.50152,0.40681,0.01055,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16994.7,1.379,0.78058,0.00889,0.93607,0.84042,0.91509,0.8371,0.49578,0.41782,0.01046,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,17274.6,1.38009,0.78453,0.00881,0.95126,0.81435,0.9136,0.83254,0.49986,0.41546,0.01062,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
